id,name,category,status,parsed_fields_count,warnings,raw_snippet
124752,Lindt Nougat Baumbehang Gefüllte Vollmilch-Schokolade mit Nougat 200g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:8, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2350.0 not in [0.0, 900.0] | energy_mismatch:kJ=563.0 inconsistent_with_kcal=2350.0 | warnings_present","Brennwert: 563 Kilokalorien (kcal) Brennwert: 2350 Kilojoule (kJ) Kohlenhydrate: 54g Kohlenhydrate, davon Zucker: 51g Fett: 34g Fett, davon…"
124753,Lindt Baumbehang Cresta Schokolade mit Nougatcrème und Krokant 200g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2349.0 not in [0.0, 900.0] | energy_mismatch:kJ=563.0 inconsistent_with_kcal=2349.0 | warnings_present","Brennwert: 563 Kilokalorien (kcal) Brennwert: 2349 Kilojoule (kJ) Kohlenhydrate: 58g Kohlenhydrate, davon Zucker: 55g Fett: 33g Fett, davon…"
124754,Lindt Baumbehang Doppelmilch Schokolade mit Doppelmilchcrème 200g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2408.0 not in [0.0, 900.0] | energy_mismatch:kJ=578.0 inconsistent_with_kcal=2408.0 | warnings_present","Brennwert: 578 Kilokalorien (kcal) Brennwert: 2408 Kilojoule (kJ) Kohlenhydrate: 52g Kohlenhydrate, davon Zucker: 51g Fett: 38g Fett, davon…"
124755,Lindt Santa Design Edition Weihnachtsmann Vollmilch-Schokolade 125g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2272.0 not in [0.0, 900.0] | energy_mismatch:kJ=544.0 inconsistent_with_kcal=2272.0 | warnings_present","Brennwert: 544 Kilokalorien (kcal) Brennwert: 2272 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 54g Fett: 32g Fett, davon…"
124757,Lindt Hello Adventskalender vegan mit Hafersirup und Mandelmark 228g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2361.0 not in [0.0, 900.0] | energy_mismatch:kJ=567.0 inconsistent_with_kcal=2361.0 | warnings_present","Brennwert: 567 Kilokalorien (kcal) Brennwert: 2361 Kilojoule (kJ) Kohlenhydrate: 54g Kohlenhydrate, davon Zucker: 33g Fett: 36g Fett, davon…"
124763,Lindt Lindor Weihnachtsmann Geschenkpackung mit Lindor Kugeln 197g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2438.0 not in [0.0, 900.0] | energy_mismatch:kJ=585.0 inconsistent_with_kcal=2438.0 | warnings_present","Brennwert: 585 Kilokalorien (kcal) Brennwert: 2438 Kilojoule (kJ) Kohlenhydrate: 51g Kohlenhydrate, davon Zucker: 49g Fett: 39g Fett, davon…"
124766,Lindt Wintertiere Vollmilch Schokolade verschiedene Tiere 40g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2272.0 not in [0.0, 900.0] | energy_mismatch:kJ=544.0 inconsistent_with_kcal=2272.0 | warnings_present","Brennwert: 544 Kilokalorien (kcal) Brennwert: 2272 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 54g Fett: 32g Fett, davon…"
124773,Lindt Natur Edition Pralinés Weihnachtsgeschenk Packung 160g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2287.0 not in [0.0, 900.0] | energy_mismatch:kJ=548.0 inconsistent_with_kcal=2287.0 | warnings_present","Brennwert: 548 Kilokalorien (kcal) Brennwert: 2287 Kilojoule (kJ) Kohlenhydrate: 53g Kohlenhydrate, davon Zucker: 51g Fett: 34g Fett, davon…"
124774,Lindt Frohes Fest Tasche Schokoladen mit verschiedenen Füllungen 137g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2408.0 not in [0.0, 900.0] | energy_mismatch:kJ=578.0 inconsistent_with_kcal=2408.0 | warnings_present","Brennwert: 578 Kilokalorien (kcal) Brennwert: 2408 Kilojoule (kJ) Kohlenhydrate: 51g Kohlenhydrate, davon Zucker: 50g Fett: 38g Fett, davon…"
124775,Lindt Frohes Fest Kissen Schokoladen mit verschiedenen Füllungen 46g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2494.0 not in [0.0, 900.0] | energy_mismatch:kJ=599.0 inconsistent_with_kcal=2494.0 | warnings_present","Brennwert: 599 Kilokalorien (kcal) Brennwert: 2494 Kilojoule (kJ) Kohlenhydrate: 51g Kohlenhydrate, davon Zucker: 49g Fett: 40g Fett, davon…"
124776,Lindt Alkohol Spezialitäten mit alkoholischen Füllungen 131g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:3, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:1936.0 not in [0.0, 900.0] | energy_mismatch:kJ=464.0 inconsistent_with_kcal=1936.0 | warnings_present","Brennwert: 464 Kilokalorien (kcal) Brennwert: 1936 Kilojoule (kJ) Kohlenhydrate: 48g Kohlenhydrate, davon Zucker: 43g Fett: 24g Fett, davon…"
124971,Lindt Goldhase großes Geschenk gefüllte Vollmilch Schokoladen 270g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2350.0 not in [0.0, 900.0] | energy_mismatch:kJ=563.0 inconsistent_with_kcal=2350.0 | warnings_present","Brennwert: 563 Kilokalorien (kcal) Brennwert: 2350 Kilojoule (kJ) Kohlenhydrate: 54g Kohlenhydrate, davon Zucker: 52g Fett: 35g Fett, davon…"
125830,Lindt Goldhase Caramel und Salz eine geschmackvolle Kreation 100g,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:salt_g:100.0 not in [0.0, 15.0] | warnings_present","Energie (KJ) per 100 g/ml 2291 KJ Energie (kcal) per 100 g/ml 549 kcal Fett per 100 g/ml 33.0 g Fett, davon gesättigte Fettsäuren pro 100 g…"
125833,Lindt Goldhase Vollmilch mit dem Glöckchen um den Hals 1000g,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:salt_g:100.0 not in [0.0, 15.0] | warnings_present","Energie (KJ) per 100 g/ml 2272 KJ Energie (kcal) per 100 g/ml 544 kcal Fett per 100 g/ml 32.0 g Fett, davon gesättigte Fettsäuren pro 100 g…"
